mall_id,name,confidence_level,center_lon,center_lat,center_source,reviewer,reason,final_polygon_geojson,review_round,reviewed_at,selected_provider,selected_poi_name,official_coord_evidence
4406,杭州空港新天地,A,120.46798011,30.23790976,official_poi_auto,,,,,,tencent,罗森(杭州空港新天地),multi_provider_agree
4495,绍兴旭辉Cmall,A,120.60859113,30.0348375,official_poi_auto,,,,,,tencent,绍兴旭辉Cmall,multi_provider_agree
4527,湖州浙北购物运动体验中心,A,120.08338823,30.85416926,official_poi_auto,,,,,,tencent,湖州浙北购物·运动体验中心,multi_provider_agree
4539,杭州富阳宝龙广场,A,119.91768009,30.0598651,official_poi_auto,,,,,,tencent,杭州富阳宝龙广场,multi_provider_agree
4554,嘉兴圣元购物广场,A,120.65005462,30.67705452,official_poi_auto,,,,,,tencent,嘉兴圣元购物广场-西北门,multi_provider_agree
4623,宁波爱琴海购物公园,A,121.58022737,29.98780656,official_poi_auto,,,,,,tencent,宁波爱琴海购物公园,multi_provider_agree
4628,杭州西子丁兰广场,A,120.20258241,30.35170965,official_poi_auto,,,,,,tencent,杭州西子丁兰广场,multi_provider_agree
4639,台州天台万亚广场,A,121.02826916,29.14271466,official_poi_auto,,,,,,tencent,云卓天合汇广场充电站(台州天台万亚购物中心),multi_provider_agree
4649,德清正翔商业广场,A,119.96339859,30.53787618,official_poi_auto,,,,,,tencent,鸡柳大人(德清正翔商业广场),multi_provider_agree
4708,嘉兴海宁乐活广场,A,120.67193648,30.49461106,official_poi_auto,,,,,,tencent,嘉兴海宁乐活广场,multi_provider_agree
4735,温州柳市现代广场,A,120.88592675,28.04772768,official_poi_auto,,,,,,tencent,YZLE温州柳市现代广场,multi_provider_agree
4736,龙湖杭州吾角天街,A,120.33208057,30.31248427,official_poi_auto,,,,,,amap,龙湖杭州吾角天街,multi_provider_agree
4768,湖州南浔贝尚坊,A,120.42283539,30.8614161,official_poi_auto,,,,,,tencent,小鹏S4超快充 湖州南浔贝尚坊站,multi_provider_agree
4780,宁波明州里,A,121.538139,29.82817986,official_poi_auto,,,,,,tencent,极氪空间(宁波明州里),multi_provider_agree
4797,杭州古墩印象城,A,120.0942645,30.2961377,official_poi_auto,,,,,,tencent,名创优品(浙江杭州市古墩印象城店),multi_provider_agree
4802,义乌青口宝龙广场,A,120.12670625,29.31389642,official_poi_auto,,,,,,amap,义乌青口宝龙广场,multi_provider_agree
4805,宁波来福士广场,A,121.55342936,29.88505561,official_poi_auto,,,,,,tencent,宁波来福士广场,multi_provider_agree
4822,绍兴大通购物中心,A,120.86853603,30.03595119,official_poi_auto,,,,,,amap,绍兴大通购物中心莱尔斯丹LESAUNDA,multi_provider_agree
4827,杭州青山湖宝龙广场二期,A,119.82362759,30.26032757,official_poi_auto,,,,,,amap,杭州青山湖宝龙广场A区,multi_provider_agree
4839,嘉兴海宁金泰城,A,120.69152366,30.5010924,official_poi_auto,,,,,,tencent,嘉兴海宁金泰城极充站,multi_provider_agree
4855,台州临海杜桥宝龙广场,A,121.49368825,28.75566067,official_poi_auto,,,,,,tencent,台州临海杜桥宝龙广场,multi_provider_agree
4887,衢州龙游城东东方广场,A,119.19405233,29.04293012,official_poi_auto,,,,,,tencent,龙游城东东方广场,multi_provider_agree
5007,杭州临安万华广场,A,119.70117592,30.22466884,official_poi_auto,,,,,,tencent,杭州临安万华广场,multi_provider_agree
5172,杭州空港德信之翼,A,120.43011321,30.27339896,official_poi_auto,,,,,,tencent,小桔充电(BP快速充电站(杭州空港德信之翼)),multi_provider_agree
5195,台州天台恒太城,A,121.02642442,29.1464022,official_poi_auto,,,,,,tencent,大鼓米线(浙江台州天台恒太城DM),multi_provider_agree
5237,宁波慈溪悦美广场,A,121.42450625,30.16326539,official_poi_auto,,,,,,tencent,特来电(特来电宁波慈溪悦美广场充电站),multi_provider_agree
5251,杭州新天地活力Park,A,120.17533934,30.3245892,official_poi_auto,,,,,,tencent,好特卖(杭州新天地活力Park店),multi_provider_agree
5275,湖州织里浙北购物中心,A,120.26433091,30.86067549,official_poi_auto,,,,,,amap,湖州织里浙北城市广场,multi_provider_agree
5278,杭州德信中心,A,120.21645722,30.29816496,official_poi_auto,,,,,,amap,杭州德信中心商场,multi_provider_agree
5447,绍兴诸暨嘉凯城城市客厅（店口店）,A,120.31823954,29.92342155,official_poi_auto,,,,,,amap,嘉凯城城市客厅,multi_provider_agree
5450,嘉兴嘉善星悦城,A,120.91590638,30.84309344,official_poi_auto,,,,,,tencent,嘉兴嘉善星悦城超充站,multi_provider_agree
5466,义乌印悦城,A,120.04846901,29.31507222,official_poi_auto,,,,,,amap,义乌印悦城,multi_provider_agree
5474,宁波高新宝龙广场,A,121.62682933,29.88553422,official_poi_auto,,,,,,tencent,宁波高新宝龙广场,multi_provider_agree
5519,杭州天阳D32时尚购物街区,A,120.13245775,30.31705891,official_poi_auto,,,,,,tencent,天阳D32时尚街区A区,multi_provider_agree
